,latest_changed_password,max_item_count,days_since_first_transaction,email_address_age_days,email_domain_label,email_domain_tld_label,email_username_length,num_unique_delivery_addresses,latest_delivery_address_name_length,latest_delivery_address_region_label,latest_delivery_address_fraction_vowels,latest_order_amount_usd,latest_item_category,latest_item_product_title,latest_item_quantity,latest_item_tag_count,per_week_purchase_total,per_week_unique_ips,per_week_update_account,per_week_payment_method_change,per_day_add_item_to_cart,per_day_transactions,per_day_payment_method_change,per_day_devices_per_user,per_day_purchase_total,per_day_unique_billing_last4,per_month_logout,per_month_page_activity,per_month_transactions
12780,False,1.0,1237.84743794448,1533.6666130208334,575.0,17.0,11.0,2.0,12.0,46.0,0.4074575062420924,36.16065911831021,Chicken Tenders Combos,Chicken Tenders Combo (1/2 Pound),1.0,1.0,21.01,2.0,2.0,0.0,-999.0,-999.0,0.0,1.0,0.0,-999.0,-999.0,-999.0,12.074369060629683
14336,False,3.0,1207.0806204909952,1066.9333944212965,386.0,17.0,7.0,1.0,11.0,5.0,0.4153700794348668,242.13210286094795,Wrappers,23. Lamb Shish-Kebab,1.0,1.0,0.0,1.0,-999.0,0.0,7.0,-999.0,0.0,2.0,0.0,1.0,-999.0,5.0,0.7351384655602633
12951,Missing,2.0,537.175247140103,664.5488005092593,386.0,17.0,7.0,1.0,13.0,10.0,0.2876862324681854,38.69546942482105,Burgers (Lunch),Black & Bleu (8 oz.),1.0,1.0,78.59,1.0,-999.0,0.0,-999.0,2.0,0.0,1.0,78.59,1.0,-999.0,-999.0,4.089692782489485
13108,False,1.0,317.47895781199026,126.92307688657408,386.0,17.0,13.0,2.0,11.0,18.0,0.2543883392413473,21.649977777906628,Lunch Combinations,Create Your Combination (Choose 3),1.0,1.0,61.27,1.0,-999.0,1.0,-999.0,2.0,1.0,1.0,61.27,2.0,-999.0,-999.0,4.483389023143445
1360,Missing,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Missing,Missing,-999.0,-999.0,-999.0,1.0,-999.0,0.0,-999.0,-999.0,0.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0
10591,False,2.0,628.8007412052057,739.2854376273148,204.0,46.0,9.0,1.0,15.0,6.0,0.3479713614703587,94.13061451560284,More Goodies,Hand Cut French Fries,1.0,0.0,55.86,1.0,5.0,0.0,-999.0,1.0,0.0,1.0,55.86,1.0,-999.0,-999.0,6.161341873148451
2242,False,1.0,170.0249701935737,613.380115324074,386.0,17.0,8.0,1.0,13.0,46.0,0.1656160172261555,59.008904289822325,Sandwiches    Wraps & Small Plates,Cuban Style Pork Shoulder Hoagie,1.0,1.0,0.0,1.0,1.0,0.0,-999.0,-999.0,0.0,1.0,0.0,-999.0,-999.0,-999.0,4.483389023143445
14699,Missing,1.0,215.1357841630198,489.806869375,386.0,17.0,13.0,3.0,14.0,34.0,0.4404053318497974,171.01614773698154,Cravings,Spicy Potato Soft Taco,2.0,1.0,12.83,2.0,-999.0,4.0,-999.0,9.0,4.0,2.0,12.83,1.0,-999.0,-999.0,13.3614115664043
16345,Missing,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Char-Broiled Chicken,1/2 Chicken,1.0,1.0,-999.0,1.0,-999.0,0.0,1.0,-999.0,0.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0
12890,False,-999.0,-999.0,199.3100039583333,386.0,17.0,9.0,-999.0,11.0,15.0,0.3218873774291582,-999.0,Dollar Menu & More,McChicken,3.0,1.0,-999.0,1.0,1.0,0.0,-999.0,-999.0,0.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0
2376,False,1.0,723.5358378526184,117.30950756944443,778.0,17.0,7.0,1.0,14.0,46.0,0.5350772332561158,109.66741892151568,Noodle Salad Bowl,#26. Buan Tau Hu,1.0,1.0,0.0,1.0,1.0,0.0,-999.0,-999.0,0.0,1.0,0.0,-999.0,-999.0,1.0,4.483389023143445
13321,False,2.0,314.9896886833975,92.04527083333332,386.0,17.0,18.0,1.0,16.0,35.0,0.3759599246918611,69.10553613790337,Missing,Missing,-999.0,-999.0,0.0,5.0,10.0,3.0,-999.0,6.0,3.0,5.0,0.0,2.0,-999.0,-999.0,8.590958550336023
11988,False,2.0,326.9428133373571,107.99905668981482,386.0,17.0,10.0,2.0,11.0,43.0,0.3879943290735812,232.61975768603963,Marble Slab Creamery Menu,Chocolate Swiss,1.0,1.0,293.2100000000001,1.0,-999.0,0.0,-999.0,2.0,0.0,1.0,50.75,1.0,-999.0,-999.0,41.9239434657486
6949,False,3.0,423.7423033307816,452.3514278703704,386.0,17.0,15.0,1.0,15.0,32.0,0.2539455545998374,109.66741892151568,Sides & Finishes,2 Biscuits,3.0,1.0,44.36,1.0,-999.0,0.0,4.0,1.0,0.0,2.0,44.36,-999.0,-999.0,5.0,10.558913341587484
3176,False,1.0,39.66571869037716,858.2634023379628,386.0,17.0,6.0,1.0,16.0,10.0,0.3309097072416825,117.01573387831246,Noodles & Rice,Signature Lo Mein,1.0,1.0,39.47,1.0,1.0,0.0,-999.0,1.0,0.0,1.0,39.47,-999.0,-999.0,-999.0,1.8754134198841053
3981,False,1.0,504.9907771448601,138.8695172222222,386.0,17.0,10.0,1.0,14.0,33.0,0.5317236600166393,109.66741892151568,Beverages,Orange Juice,1.0,1.0,-999.0,1.0,1.0,0.0,-999.0,1.0,0.0,1.0,-999.0,1.0,-999.0,-999.0,5.914040115924997
9196,Missing,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Sides,Ranch Dressing,1.0,1.0,-999.0,1.0,-999.0,0.0,7.0,-999.0,0.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0
7878,False,-999.0,-999.0,306.1239455671296,386.0,17.0,14.0,-999.0,14.0,30.0,0.606806494078141,-999.0,Missing,Missing,-999.0,-999.0,-999.0,1.0,1.0,0.0,-999.0,-999.0,0.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0
3089,False,1.0,230.87666878362649,91.58659618055556,1100.0,17.0,12.0,1.0,16.0,43.0,0.5141710975237459,116.28538215780269,Breakfast,4 Chick-n-Minis™,1.0,1.0,0.0,1.0,4.0,0.0,-999.0,-999.0,0.0,1.0,0.0,-999.0,-999.0,-999.0,1.6345511250161031
7125,False,4.0,314.9896886833975,1414.961178125,64.0,17.0,14.0,1.0,14.0,7.0,0.4133365202333173,106.11082501491455,Chicken / Pork,Chicken with Broccoli (or Roast Pork),1.0,1.0,70.01,1.0,3.0,0.0,-999.0,-999.0,0.0,1.0,0.0,-999.0,-999.0,-999.0,1.843732508969914
243,Missing,2.0,254.0279514458302,92.28674442129628,1100.0,17.0,15.0,2.0,16.0,43.0,0.4128986467668454,109.66741892151568,Entrées,Chick-fil-A® Nuggets,1.0,1.0,38.49,3.0,-999.0,1.0,-999.0,-999.0,0.0,1.0,0.0,-999.0,-999.0,-999.0,7.78804423704619
8243,False,1.0,637.5117692088443,279.7696716203704,386.0,17.0,8.0,1.0,13.0,23.0,0.1345762649816791,188.53656726137265,Pho & Noodles,P1. Pho - Rice Noodle Soup,1.0,1.0,18.22,1.0,-999.0,0.0,-999.0,1.0,0.0,1.0,18.22,-999.0,-999.0,-999.0,1.9749023370074237
7733,Missing,2.0,375.0725125849574,1209.728084652778,386.0,17.0,11.0,1.0,15.0,5.0,0.3753825845496651,109.66741892151568,Side,Side of Guacamole,1.0,1.0,62.54,1.0,-999.0,0.0,-999.0,2.0,0.0,1.0,62.54,1.0,-999.0,-999.0,3.75688482368624
9629,Missing,2.0,314.9896886833975,16.96569375,730.0,17.0,10.0,1.0,14.0,34.0,0.5590048732966765,109.66741892151568,All-Day Breakfast,Sausage McGriddles,1.0,1.0,0.0,1.0,-999.0,0.0,-999.0,-999.0,0.0,1.0,0.0,-999.0,-999.0,-999.0,8.326405796178097
